ENTRÉES
FOIE GRAS DE CANARD MAISON ET SON PAIN D’ÉPICES FOSSIER  lorem  18.50
SALADE MÉDITERRANÉENNE  lorem  11.00
SALADE OCÉANE  (SALADE VERTE, SAUMON FUMÉ, TOMATES, AVOCAT, 2 CREVETTES ROSES, ASPERGES)  14.00
SALADE CAESAR AU POULET  lorem  12.50
ESCARGOTS DE BOURGOGNE AU BEURRE PERSILLÉ  lorem  11.50
MELON ET JAMBON DE PARME  lorem  12.50
TOMATES MULTICOLORES ET MOZZARELLA DI BUFALA CAMPANA  lorem  10.50
SALADE FRAÎCHEUR  lorem  14.00
VIANDES
FILET DE POULET FERMIER DE CHAMPAGNE PANÉ À LA MILANAISE, SPAGHETTI  lorem  18.50
BELLE ENTRECÔTE GRILLÉE  (350G)  23.50
PAVÉ DE VEAU AU JUS À LA MOELLE ET POMMES GRENAILLES FONDANTES  lorem  16.50
BROCHETTE D’AGNEAU GRILLÉE AU THYM ET À L’AIL  lorem  18.50
BURGER MAISON  lorem  16.00
MIXED GRILL  lorem  20.50
BUN’N’ROLL AUX TROIS VIANDES  (AGNEAU, BOEUF, VEAU)  16.50
BAVETTE POÊLÉE, ÉCHALOTES CONFITES  lorem  16.00
